filename	sample_name	description	sample_type_common	dna_extracted	fermented	fermentation_day	371	2813	659	111243	8345	2627	1453	594	131	2550	162573	187158	340197
G74050_1x_RG3_01_18581.mzXML	11442.G74050	Koshihikari echigo beer	beer	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	1	0	0
G74121_1x_RF9_01_18574.mzXML	11442.G74121	warsteiner beer	beer	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G75763_1x_RB9_01_18617.mzXML	11442.G75763	berliner weisse beer	beer	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	1	0	0
G83430_1x_rerun_RE6_01_26502.mzXML	11442.G83430	Stone Ruination Double IPA beer	beer	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	1	0	0
G83432_1x_RG6_01_26458.mzXML	11442.G83432	Cali Creamer beer	beer	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G74120_1x_10ul_RD9_01_19821.mzXML	11442.G74120	matcha drink	beverage	TRUE	yes	green	0	0	0	0	0	0	0	0	0	0	0	0	0
G87500_1x_rerun_RD2_01_26512.mzXML	11442.G87500	Barefoot bubbles; brut cuvee	beverage	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G86961_1x_RC9_01_23517.mzXML	11442.G86961	aromatic bitters (44.7% alc/vol)	bitters	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G75859_1x_rerun_RE7_01_26482.mzXML	11442.G75859	Black Tea, Nestea [leaves from Nilgiri]	black tea	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G74082_1x_RD5_01_18542.mzXML	11442.G74082	pear brandy julischka (25%alc/vol)	brandy	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G79233_5x_BB11_01_19965.mzXML	11442.G79233	bread	bread	TRUE	yes	0.0597	0	0	0	0	0	0	0	0	0	1	0	0	0
G79241_5x_rerun_BC11_01_20082.mzXML	11442.G79241	pita bread	bread	TRUE	yes	0.1632	0	0	0	0	0	0	0	0	0	0	1	0	0
G79242_5x_BF11_01_20030.mzXML	11442.G79242	pita bread	bread	TRUE	yes	0.2276	0	0	0	0	0	0	0	0	0	0	0	0	0
18NAVY28_v1_lun_4_BF2_01_39681.mzXML	18NAVY28_v1_lun_4	Bread Whole Wheat , Aspen	bread	FALSE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
18NAVY28_v2_lun_7_BD7_01_39700.mzXML	18NAVY28_v2_lun_7	Bread Whole Wheat , Aspen	bread	FALSE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
